paygrade,male,age,to_fem_mgr,to_male_mgr,ln_salary,id,mgr_id,month
16,Male,35,0,0,.0030719512,158,199,1
16,Male,36,0,0,.0030719512,158,67,2
16,Male,36,0,0,.0030719512,158,67,3
16,Male,36,0,0,.0030719512,158,67,4
16,Male,36,0,0,.0030719512,158,67,5
16,Male,36,0,0,.0030719512,158,67,6
16,Male,36,0,0,.0030719512,158,67,7
16,Male,36,0,0,.0030719512,158,67,8
17,Male,36,0,0,1.259203,158,648,9
17,Male,36,0,0,1.259203,158,648,10
17,Male,36,0,0,1.259203,158,648,11
17,Male,36,0,0,1.259203,158,648,12
17,Male,36,0,0,1.259203,158,648,13
17,Male,37,0,0,1.259203,158,648,14
17,Male,37,0,0,1.259203,158,648,15
17,Male,37,0,0,1.259203,158,648,16
17,Male,37,0,0,1.259203,158,648,17
17,Male,37,0,0,1.259203,158,648,18
17,Male,37,0,0,1.259203,158,648,19
17,Male,37,0,0,1.259203,158,648,20
17,Male,37,0,0,1.259203,158,648,21
17,Male,37,0,0,1.259203,158,648,22
17,Male,37,0,0,1.259203,158,648,23
17,Male,37,0,0,1.259203,158,648,24
17,Male,37,0,0,1.259203,158,648,25
17,Male,38,0,0,1.259203,158,648,26
15,Male,38,0,0,1.259203,158,67,27
15,Male,38,0,0,1.259203,158,67,28
15,Male,38,0,0,1.259203,158,67,29
15,Male,38,0,0,1.3478794,158,405,30
15,Male,38,0,0,1.3478794,158,676,31
15,Male,38,0,0,1.3478794,158,676,32
15,Male,38,0,0,1.3478794,158,405,33
15,Male,38,0,0,1.3478794,158,687,34
15,Male,38,0,0,1.3478794,158,687,35
15,Male,38,0,0,1.3478794,158,687,36
15,Male,38,1,0,1.3478794,158,141,37
15,Male,39,0,0,1.3478794,158,141,38
15,Male,39,0,0,1.3478794,158,141,39
15,Male,39,0,0,1.3478794,158,141,40
15,Male,39,0,0,1.3478794,158,141,41
15,Male,39,0,0,1.8948442,158,141,42
15,Male,39,0,0,1.8948442,158,141,43
15,Male,39,0,0,1.8948442,158,141,44
15,Male,39,0,0,1.8948442,158,141,45
15,Male,39,0,0,1.8948442,158,141,46
15,Male,39,0,0,1.8948442,158,141,47
15,Male,39,0,0,1.8948442,158,141,48
12,Male,38,0,0,.0079938592,186,13,1
12,Male,38,0,0,.0079938592,186,13,2
12,Male,38,0,0,.0079938592,186,13,3
12,Male,38,0,0,.0079938592,186,13,4
12,Male,38,0,1,.0079938592,186,314,5
12,Male,38,0,0,.096670181,186,314,6
12,Male,38,0,0,.096670181,186,314,7
12,Male,39,0,0,.096670181,186,13,8
12,Male,39,0,0,.096670181,186,13,9
12,Male,39,0,0,.096670181,186,13,10
12,Male,39,0,0,.096670181,186,13,11
12,Male,39,0,0,.096670181,186,222,12
12,Male,39,0,0,.096670181,186,222,13
12,Male,39,0,0,.096670181,186,222,14
12,Male,39,0,0,.096670181,186,290,15
12,Male,39,0,0,.096670181,186,290,16
12,Male,39,0,0,.096670181,186,290,17
12,Male,39,0,0,.096670181,186,290,18
12,Male,39,0,0,.096670181,186,290,19
12,Male,40,0,0,.096670181,186,290,20
12,Male,40,0,0,.096670181,186,290,21
12,Male,40,0,0,.096670181,186,290,22
12,Male,40,0,0,.096670181,186,290,23
12,Male,40,0,0,.096670181,186,290,24
12,Male,40,0,0,.096670181,186,290,25
12,Male,40,0,0,.096670181,186,290,26
12,Male,40,0,1,.096670181,186,17,27
12,Male,40,0,0,.096670181,186,17,28
12,Male,40,0,0,.096670181,186,17,29
12,Male,40,0,0,.18534659,186,17,30
12,Male,40,0,0,.18534659,186,676,31
12,Male,41,0,0,.18534659,186,676,32
12,Male,41,0,0,.18534659,186,17,33
12,Male,41,0,0,.18534659,186,687,34
12,Male,41,0,0,.18534659,186,687,35
12,Male,41,0,0,.18534659,186,687,36
12,Male,41,0,0,.18534659,186,141,37
12,Male,41,0,0,.18534659,186,290,38
12,Male,41,0,0,.18534659,186,290,39
12,Male,41,0,0,.18534659,186,290,40
12,Male,41,0,0,.18534659,186,290,41
12,Male,41,0,0,.27402294,186,290,42
12,Male,41,0,0,.27402294,186,290,43
12,Male,42,0,0,.27402294,186,290,44
12,Male,42,0,0,.27402294,186,290,45
12,Male,42,0,0,.27402294,186,290,46
12,Male,42,0,0,.27402294,186,290,47
12,Male,42,0,0,.27402294,186,290,48
10,Female,40,0,0,.019741815,110,740,1
10,Female,40,0,0,.019741815,110,740,2
10,Female,40,0,0,.019741815,110,740,3
10,Female,40,0,0,.019741815,110,740,4
10,Female,41,0,0,.019741815,110,740,5
10,Female,41,0,0,.019741815,110,740,6
10,Female,41,0,0,.019741815,110,740,7
10,Female,41,0,0,.019741815,110,740,8
10,Female,41,0,0,.019741815,110,740,9
10,Female,41,0,0,.13740385,110,740,10
10,Female,41,0,0,.13740385,110,129,11
10,Female,41,0,0,.13740385,110,342,12
10,Female,41,0,0,.13740385,110,895,13
10,Female,41,0,0,.13740385,110,895,14
10,Female,41,0,0,.13740385,110,895,15
10,Female,41,0,0,.13740385,110,895,16
10,Female,42,0,0,.13740385,110,895,17
10,Female,42,0,0,.13740385,110,895,18
10,Female,42,0,0,.13740385,110,895,19
10,Female,42,0,0,.13740385,110,895,20
10,Female,42,0,0,.13740385,110,895,21
10,Female,42,0,0,.34037989,110,895,22
10,Female,42,0,0,.34037989,110,895,23
10,Female,42,0,0,.34037989,110,895,24
10,Female,42,0,0,.34037989,110,895,25
10,Female,42,0,0,.34037989,110,895,26
10,Female,42,0,0,.34037989,110,895,27
10,Female,42,0,0,.34037989,110,895,28
10,Female,43,0,0,.34037989,110,895,29
10,Female,43,0,0,.34037989,110,895,30
10,Female,43,0,0,.34037989,110,895,31
10,Female,43,0,0,.34037989,110,895,32
10,Female,43,0,0,.34037989,110,895,33
10,Female,43,1,0,.59891301,110,132,34
10,Female,43,0,0,.59891301,110,132,35
10,Female,43,0,0,.59891301,110,132,36
10,Female,43,0,0,.59891301,110,132,37
10,Female,43,0,0,.59891301,110,132,38
10,Female,43,0,0,.59891301,110,132,39
11,Female,43,0,0,.59891301,110,132,40
11,Female,44,0,0,.59891301,110,132,41
11,Female,44,0,0,.59891301,110,132,42
11,Female,44,0,0,.59891301,110,132,43
11,Female,44,0,0,.59891301,110,132,44
11,Female,44,0,0,.59891301,110,132,45
11,Female,44,0,0,.93889898,110,132,46
11,Female,44,0,0,.93889898,110,132,47
11,Female,44,0,0,.93889898,110,132,48
7,Female,48,0,0,.060449857,285,275,1
7,Female,48,0,0,.060449857,285,275,2
7,Female,49,0,0,.060449857,285,275,3
7,Female,49,0,0,.060449857,285,275,4
7,Female,49,0,0,.060449857,285,275,5
7,Female,49,0,0,.29133308,285,40,6
7,Female,49,0,1,.29133308,285,339,7
7,Female,49,0,0,.29133308,285,339,8
7,Female,49,0,0,.29133308,285,339,9
7,Female,49,0,0,.29133308,285,339,10
7,Female,49,0,0,.29133308,285,339,11
7,Female,49,0,0,.29133308,285,339,12
7,Female,49,0,0,.29133308,285,339,13
7,Female,49,0,0,.29133308,285,339,14
7,Female,50,0,0,.29133308,285,339,15
7,Female,50,0,0,.29133308,285,339,16
7,Female,50,0,0,.29133308,285,339,17
7,Female,50,0,0,.81319284,285,339,18
7,Female,50,0,0,.81319284,285,339,19
7,Female,50,0,0,.81319284,285,339,20
7,Female,50,0,0,.81319284,285,339,21
7,Female,50,0,0,.81319284,285,339,22
7,Female,50,0,0,.81319284,285,339,23
7,Female,50,0,0,.81319284,285,339,24
7,Female,50,0,0,.81319284,285,339,25
7,Female,50,0,0,.81319284,285,339,26
7,Female,51,0,0,.81319284,285,339,27
7,Female,51,0,0,.81319284,285,339,28
7,Female,51,0,0,.81319284,285,339,29
7,Female,51,0,0,1.2062776,285,339,30
7,Female,51,0,0,1.2062776,285,339,31
7,Female,51,0,0,1.2062776,285,339,32
7,Female,51,0,0,1.2062776,285,834,33
7,Female,51,0,0,1.2062776,285,834,34
7,Female,51,0,0,1.2062776,285,834,35
7,Female,51,0,0,1.2062776,285,834,36
7,Female,51,0,0,1.2062776,285,834,37
7,Female,51,0,0,1.2062776,285,834,38
7,Female,52,0,0,1.2062776,285,834,39
7,Female,52,0,0,1.2062776,285,834,40
7,Female,52,0,0,1.2062776,285,834,41
7,Female,52,0,0,1.5729306,285,834,42
7,Female,52,0,0,1.5729306,285,834,43
7,Female,52,0,0,1.5729306,285,834,44
7,Female,52,0,0,1.5729306,285,834,45
7,Female,52,0,0,1.5729306,285,834,46
7,Female,52,0,0,1.5729306,285,834,47
7,Female,52,0,0,1.5729306,285,834,48
13,Female,50,0,0,.021044618,221,267,1
13,Female,50,0,0,.021044618,221,267,2
13,Female,50,0,0,.021044618,221,267,3
13,Female,50,0,0,.021044618,221,267,4
13,Female,50,0,0,.021044618,221,267,5
13,Female,50,0,0,.021044618,221,267,6
13,Female,50,0,0,.021044618,221,267,7
13,Female,50,1,0,.021044618,221,751,8
13,Female,50,0,0,.021044618,221,751,9
13,Female,50,0,0,.021044618,221,751,10
13,Female,50,0,0,.021044618,221,751,11
13,Female,50,0,0,.021044618,221,751,12
13,Female,51,1,0,.021044618,221,741,13
13,Female,51,0,0,.021044618,221,741,14
13,Female,51,0,0,.021044618,221,741,15
13,Female,51,0,0,.021044618,221,741,16
13,Female,51,0,0,.021044618,221,741,17
13,Female,51,0,0,.021044618,221,741,18
13,Female,51,0,0,.021044618,221,741,19
13,Female,51,0,0,.021044618,221,741,20
13,Female,51,0,0,.021044618,221,741,21
13,Female,51,0,0,.41412938,221,741,22
13,Female,51,0,0,.41412938,221,741,23
13,Female,51,0,0,.41412938,221,741,24
13,Female,52,1,0,.41412938,221,367,25
13,Female,52,0,0,.41412938,221,367,26
13,Female,52,0,0,.41412938,221,367,27
13,Female,52,0,0,.41412938,221,367,28
13,Female,52,0,0,.41412938,221,367,29
13,Female,52,0,0,.41412938,221,367,30
13,Female,52,0,0,.41412938,221,367,31
13,Female,52,0,0,.41412938,221,367,32
13,Female,52,1,0,.41412938,221,142,33
13,Female,52,0,0,1.8798693,221,142,34
13,Female,52,0,0,1.8798693,221,142,35
13,Female,52,0,0,1.8798693,221,142,36
13,Female,53,0,0,1.8798693,221,142,37
13,Female,53,0,0,1.8798693,221,142,38
13,Female,53,0,0,1.8798693,221,142,39
13,Female,53,0,0,1.8798693,221,142,40
13,Female,53,0,0,1.8798693,221,142,41
13,Female,53,0,0,1.8798693,221,142,42
13,Female,53,0,0,1.8798693,221,142,43
13,Female,53,0,0,1.8798693,221,142,44
13,Female,53,0,0,1.8798693,221,142,45
13,Female,53,0,0,2.1107526,221,142,46
13,Female,53,0,0,2.1107526,221,142,47
13,Female,53,0,0,2.1107526,221,142,48
8,Female,33,0,0,.030736178,240,278,1
8,Female,33,0,0,1.3647935,240,278,2
8,Female,33,0,0,1.3647935,240,278,3
8,Female,33,0,0,1.3647935,240,278,4
8,Female,33,0,0,1.3647935,240,278,5
8,Female,33,0,0,1.3647935,240,278,6
8,Female,33,0,0,1.3647935,240,278,7
8,Female,34,0,0,1.3647935,240,278,8
8,Female,34,0,0,1.3647935,240,278,9
8,Female,34,0,0,1.3647935,240,278,10
8,Female,34,0,0,1.3647935,240,278,11
8,Female,34,0,0,1.3647935,240,278,12
8,Female,34,0,0,1.3647935,240,278,13
8,Female,34,0,0,1.3647935,240,278,14
8,Female,34,0,0,1.3647935,240,278,15
8,Female,34,0,0,1.3647935,240,278,16
8,Female,34,0,0,1.3647935,240,278,17
8,Female,34,0,0,1.9117583,240,278,18
8,Female,34,0,0,1.9117583,240,278,19
8,Female,35,0,0,1.9117583,240,278,20
8,Female,35,0,0,1.9117583,240,278,21
8,Female,35,0,0,1.9117583,240,278,22
8,Female,35,0,0,1.9117583,240,278,23
8,Female,35,0,0,1.9117583,240,278,24
8,Female,35,0,0,1.9117583,240,278,25
8,Female,35,0,0,1.9117583,240,278,26
8,Female,35,0,0,1.9117583,240,278,27
8,Female,35,0,1,1.9117583,240,104,28
8,Female,35,0,0,1.9117583,240,104,29
7,Female,26,0,0,.076130837,20,136,1
7,Female,26,0,0,.076130837,20,136,2
7,Female,26,0,0,.076130837,20,136,3
7,Female,26,1,0,.076130837,20,136,4
7,Female,26,0,0,.076130837,20,136,5
7,Female,26,0,0,.38921094,20,136,6
7,Female,26,0,0,.38921094,20,136,7
7,Female,26,0,0,.38921094,20,136,8
7,Female,26,0,0,.38921094,20,136,9
7,Female,26,0,0,.38921094,20,136,10
7,Female,27,0,0,.38921094,20,136,11
7,Female,27,0,0,.38921094,20,136,12
7,Female,27,0,0,.38921094,20,136,13
7,Female,27,0,0,.38921094,20,136,14
7,Female,27,0,0,.38921094,20,136,15
7,Female,27,0,0,.38921094,20,136,16
7,Female,27,0,0,.38921094,20,136,17
7,Female,27,0,0,.78229582,20,136,18
7,Female,27,0,0,.78229582,20,136,19
7,Female,27,0,0,.78229582,20,136,20
7,Female,27,0,0,.78229582,20,136,21
7,Female,27,0,0,.78229582,20,136,22
7,Female,28,0,0,.78229582,20,136,23
7,Female,28,0,0,.78229582,20,136,24
7,Female,28,0,0,.78229582,20,136,25
7,Female,28,0,0,.78229582,20,136,26
7,Female,28,0,0,.78229582,20,136,27
7,Female,28,1,0,.78229582,20,136,28
7,Female,28,0,0,.78229582,20,136,29
7,Female,28,0,0,1.2533071,20,136,30
7,Female,28,0,0,1.2533071,20,136,31
7,Female,28,0,0,1.2533071,20,136,32
7,Female,28,0,0,1.2533071,20,136,33
7,Female,28,0,0,1.2533071,20,136,34
7,Female,29,0,0,1.2533071,20,136,35
7,Female,29,0,0,1.2533071,20,136,36
7,Female,29,0,0,1.2533071,20,136,37
7,Female,29,0,0,1.2533071,20,136,38
7,Female,29,0,0,1.2533071,20,136,39
7,Female,29,0,0,1.2533071,20,136,40
7,Female,29,0,0,1.2533071,20,136,41
7,Female,29,0,0,1.8002717,20,136,42
7,Female,29,0,0,1.8002717,20,136,43
7,Female,29,0,0,1.8002717,20,136,44
7,Female,29,0,0,1.8002717,20,136,45
7,Female,29,0,0,1.8002717,20,136,46
7,Female,30,0,0,1.8002717,20,136,47
7,Female,30,0,0,1.8002717,20,136,48
9,Female,26,0,0,.087252297,15,296,1
9,Female,26,0,0,.087252297,15,296,2
9,Female,26,0,0,.087252297,15,296,3
9,Female,26,0,0,.087252297,15,39,4
9,Female,26,0,0,.087252297,15,39,5
9,Female,26,0,0,.087252297,15,39,6
9,Female,26,0,0,.087252297,15,39,7
9,Female,26,0,0,.087252297,15,39,8
9,Female,27,0,0,.087252297,15,39,9
9,Female,27,0,0,.60911238,15,43,10
9,Female,27,0,1,.60911238,15,215,11
9,Female,27,0,0,.60911238,15,215,12
9,Female,27,0,0,.60911238,15,215,13
9,Female,27,0,0,.60911238,15,215,14
9,Female,27,0,0,.60911238,15,215,15
9,Female,27,0,0,.60911238,15,215,16
9,Female,27,0,0,.60911238,15,215,17
9,Female,27,0,0,.60911238,15,215,18
9,Female,27,0,0,.60911238,15,215,19
9,Female,27,0,0,.60911238,15,215,20
9,Female,28,0,0,.60911238,15,215,21
9,Female,28,0,0,.60911238,15,822,22
9,Female,28,0,0,1.3962051,15,822,23
9,Female,28,0,0,1.3962051,15,822,24
9,Female,28,0,0,1.3962051,15,822,25
9,Female,28,0,0,1.3962051,15,822,26
9,Female,28,0,0,1.3962051,15,822,27
9,Female,28,0,0,1.3962051,15,822,28
9,Female,28,0,0,1.3962051,15,822,29
9,Female,28,0,1,1.3962051,15,93,30
9,Female,28,0,0,1.3962051,15,93,31
9,Female,28,0,0,1.3962051,15,93,32
9,Female,29,0,0,1.3962051,15,93,33
9,Female,29,0,0,2.0172477,15,93,34
9,Female,29,0,0,2.0172477,15,93,35
9,Female,29,0,0,2.0172477,15,93,36
9,Female,29,0,0,2.0172477,15,93,37
9,Female,29,0,0,2.0172477,15,93,38
9,Female,29,0,0,2.0172477,15,93,39
10,Female,29,0,0,2.0172477,15,93,40
10,Female,29,0,0,2.0172477,15,93,41
10,Female,29,0,0,2.0172477,15,93,42
10,Female,29,0,0,2.0172477,15,93,43
10,Female,29,0,0,2.0172477,15,93,44
10,Female,30,0,0,2.0172477,15,93,45
