id,time,wage,male,age,event,compare,cluster_var
02-7935,45,49000,0,20.566734,0,0,11-360
04-629,6,47000,1,20.361397,0,0,04-007
01-7749,10,46000,0,18.472279,0,0,09-052
01-8109,47,47000,0,25.412731,0,0,03-1074
02-600,43,47000,0,47.787819,0,0,02-4267
02-5198,47,49000,0,27.794661,0,0,02-833
14-022,3,46000,0,39.321014,0,0,05-052
26-045,19,48000,0,32.948666,0,0,02-2907
54-013,1,49000,1,29.047228,0,0,02-3172
32-184,24,46000,0,33.174538,0,0,01-1613
01-5832,13,46000,0,23.653662,0,0,01-5002
02-7673,42,46000,0,20.361397,0,0,04-465
03-106,18,54000,0,43.08556,0,0,02-5605
02-4921,14,45000,0,21.538671,0,0,02-2284
01-6564,17,50000,1,22.934977,0,0,99-150
19-007,4,48000,0,42.551678,0,0,01-2020
02-5814,30,50000,1,21.990417,0,0,02-2907
01-885,39,49000,1,45.255302,0,0,01-646
24-163,10,47000,1,30.731007,0,0,02-237
09-151,1,47000,0,31.983572,0,0,09-039
02-3116,11,46000,0,26.576317,0,0,02-245
03-0345,28,46000,0,18,0,0,01-7795
03-1579,45,49000,0,20.094456,0,0,03-1760
01-2839,1,53000,0,28.759754,0,0,01-123
13-190,45,53000,0,42.052017,0,0,02-2975
26-025,7,48000,0,35.665981,0,0,02-2907
02-773,21,52000,0,40.457222,0,0,02-755
42-2141,46,49000,1,18.020535,0,0,42-1596
01-3630,43,50000,1,35.583847,0,0,01-232
01-7505,9,47000,1,18.978781,0,0,42-1413
01-6600,17,54000,1,22.702259,0,0,01-112
01-6124,7,51000,0,21.819302,0,0,06-349
08-134,5,48000,0,39.293636,0,0,08-047
01-7412,39,50000,1,26.028748,0,0,01-387
01-9308,28,49000,0,18.657084,0,0,01-2391
01-686,18,49000,0,,0,0,01-475
02-6320,19,47000,0,18.417522,0,0,04-044
01-7787,47,49000,1,26.658453,0,0,03-1038
25-024,12,49000,0,36.042439,0,0,02-5168
03-0597,46,46000,0,21.449692,0,0,14-090
02-5571,27,48000,0,21.956194,0,0,02-1258
99-099,15,49000,0,34.173855,0,0,01-1455
00-237,34,54000,0,37.178646,0,0,01-180
01-8576,17,48000,0,19.252567,0,0,01-708
01-7410,32,50000,1,24.570841,0,0,01-1717
01-8864,45,51000,0,24.563997,0,0,01-1204
01-2100,20,49000,0,35.556469,0,0,18-039
01-8695,17,45000,1,19.115675,0,0,01-7079
03-0745,33,50000,0,18.417522,0,0,01-548
01-3758,27,58000,1,31.860371,0,0,01-8686
19-083,35,46000,0,37.664612,0,0,19-005
02-1217,34,50000,0,40.334019,0,0,02-1035
01-6138,42,55000,1,28.965092,0,0,42-1221
01-864,1,49000,0,37.623547,0,0,15-018
01-8745,42,51000,0,24.030117,0,0,01-517
01-493,2,50000,0,40.888432,0,0,01-6216
60-030,38,47000,0,35.303215,0,0,29-008
02-4462,9,50000,1,20.833675,0,0,42-1242
10-055,42,53000,0,46.726898,0,0,08-060
01-728,15,50000,0,41.237511,0,0,01-305
02-3934,12,47000,0,23.96167,0,0,02-4556
08-032,46,53000,0,,0,0,03-3274
01-8375,45,48000,0,24.878849,0,0,01-272
01-1569,0,53000,1,34.40657,0,0,01-160
01-891,38,48000,1,19.149897,0,0,42-2039
88-039,22,43000,1,27.43874,0,0,88-037
01-7898,20,48000,1,20.847364,0,0,16-052
56-020,8,49000,1,29.656401,0,0,01-1152
37-029,30,51000,0,36.733742,0,0,16-047
01-2349,33,55000,0,37.206024,0,0,01-1960
01-9007,46,47000,0,24.392881,0,0,29-029
48-018,0,46000,0,30.908966,0,0,04-027
02-2752,25,51000,0,31.04586,0,0,01-8910
02-2426,46,50000,0,36.309376,0,0,02-1052
53-015,1,49000,0,29.971252,0,0,16-033
02-4953,12,46000,0,21.073238,0,0,13-092
02-1703,32,48000,0,36.042439,0,0,02-237
01-8920C,38,49000,1,19.83436,0,0,42-1411
01-6997,4,46000,0,19.64271,0,0,01-1236
11-532,44,49000,0,36.672142,0,0,11-410
13-055,13,52000,1,40.703629,0,0,02-5404
01-7789,29,48000,0,22.907598,0,0,18-039
02-920,43,47000,1,44.15332,0,0,02-034
01-3228,4,48000,0,28.349075,0,0,01-029
03-1779,47,47000,1,20.224504,0,0,01-2087
02-7589,42,48000,0,20.4846,0,0,02-6607
02-4579,9,47000,1,21.127995,0,0,02-4535
03-0011,28,50000,0,18.431211,0,0,01-3147
01-6125,17,48000,0,23.906914,0,0,32-050
